,name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,sex_C,sex_F,sex_G,sex_R,avgSireRating,avgSireErg,avgSireForm,avgDamRating,avgDamErg,avgBmSireRating,avgBmSireErg,avgBmSireForm,sireIsElite,damIsElite,bmSireIsElite,sireIsEliteErg,damIsEliteErg,bmSireIsEliteErg,sireIsEliteForm,bmSireIsEliteForm,lineage_score
33280,Literate,2,81,45,50,6,Oscar Performance,20000.0,1,Infanta Branca,50,Henrythenavigator,2,0.0,1.0,0.0,0.0,69.72508134609744,35.909360968969686,1.5475171139625516,68.71395587243829,34.756885888354255,61.55817578987227,38.735992562286235,1.6654438769698705,0,0,0,0,0,0,0,0,68.14615159688296
33281,Silver Galaxy,2,81,13,27,9,Flashpoint,0.0,3,Celestial Legend,36,City Zip,2,1.0,0.0,0.0,0.0,66.52010188154983,28.345679753471806,1.6609894287886846,67.56010971859213,28.52611665758502,66.29808870475661,34.51981514405756,1.686090648415715,0,0,0,0,0,0,0,0,66.85080264799565
33282,Third Wheel,2,81,48,43,7,Broken Vow,25000.0,17,Miz Ida,45,Proud Citizen,3,1.0,0.0,0.0,0.0,66.26061613107518,30.01083784942216,1.695625389324586,66.69011886180814,31.069959712383774,65.12318214995608,34.62348950554818,1.630972761920855,0,0,0,0,0,0,0,0,66.24032698966386
33283,Top Gato,2,81,45,0,15,Bernstein,25000.0,10,Forever Red,50,Red Ransom,2,0.0,0.0,1.0,0.0,64.84465835277823,6.026659660124714,1.5978819130875592,66.86780202628444,27.98765511912348,63.79154619225527,26.339288429983593,1.5206335529769597,0,0,0,0,0,0,0,0,65.39479181442695
33284,Commander Carl,2,80,32,25,7,Midshipman,8500.0,8,Picture Trail,28,Storm Boot,2,0.0,0.0,1.0,0.0,68.4763552332384,27.03361032908215,1.6739690190229717,68.44011886180814,28.403293045717106,62.79243606675471,19.419363332090583,1.7184616000320165,0,0,0,0,0,0,0,1,67.61108462826526
33285,East Side,2,80,25,0,15,English Channel,25000.0,3,Russian Sweetiepie,37,Absent Russian,2,1.0,0.0,0.0,0.0,66.74695519636313,29.185760663341547,1.623957000012888,67.44011886180814,26.403293045717106,67.44011886180814,26.403293045717106,1.6878210002534653,0,0,0,0,0,0,0,0,67.09353702908564
33286,Kodapendent,2,80,25,28,8,Outwork,15000.0,1,Rhineland,37,Mr. Prospector,0,1.0,0.0,0.0,0.0,62.830984306961575,31.962436076515885,1.464962512213668,63.81876175611318,27.122634436573684,64.30822554043893,16.52462648998532,1.5921458105583324,0,0,0,0,0,0,0,0,63.398292599186234
33287,Mundle of Joy,2,80,39,34,8,Munnings,25000.0,7,Bella Joy,41,Kitten's Joy,2,0.0,1.0,0.0,0.0,68.1360187775731,35.44788748316455,1.6598682310817563,66.79087894936137,28.06457819604656,64.76562572868471,35.069584779126465,1.579561371913395,0,0,0,0,0,0,0,0,67.15966088036573
33288,American Blaze,2,79,26,21,6,American Freedom,20000.0,2,Beauty n Balance,38,Lookin at Lucky,0,1.0,0.0,0.0,0.0,62.57554782856017,26.99844190823889,1.6432412815829278,66.66194784924525,28.71268332260048,64.92627228658903,42.38811744607196,1.6133414375475248,0,0,0,0,0,1,0,0,64.35839650450427
33289,G Victory,2,79,34,33,8,Outwork,15000.0,1,Eye to Victory,44,Eye Of The Tiger,2,1.0,0.0,0.0,0.0,62.830984306961575,31.962436076515885,1.464962512213668,66.40626356474598,30.29534742681579,66.40626356474598,30.29534742681579,1.7118347694647371,0,0,0,0,0,0,0,0,64.61862393585378
33290,Irish Goodbye,2,79,28,32,12,Hat Trick,15000.0,6,Exchange Funds,41,Speightstown,0,0.0,0.0,1.0,0.0,59.186068131575205,15.961830427051426,1.4610445137893722,66.48542842277985,28.65596776990702,69.73123613320023,39.52018154463151,1.6832279726096842,0,0,0,0,0,0,0,0,63.322619433740584
33291,Mitico,2,79,31,32,7,Dialed In,25000.0,6,Awesome Frances,37,Awesome Again,2,1.0,0.0,0.0,0.0,65.2857007162712,31.230504799204446,1.6527020633007643,67.80581616726413,25.48853689632895,65.95300113087984,32.14281038872309,1.6399306419178823,0,0,0,0,0,0,0,0,66.26783618631002
33292,Our Closure,2,79,39,34,12,Repent,20000.0,10,Sugarlick,47,Congrats,0,0.0,1.0,0.0,0.0,64.5915304529784,23.48853689632895,1.6609894287886846,66.66194784924525,29.89450150441866,67.3153267358601,39.238508066747904,1.639648148952349,0,0,0,0,0,0,0,0,65.72474598410406
33293,Peppermint Candy,2,79,53,51,6,Candy Ride,80000.0,15,Mine for Keeps,49,Smart Strike,2,0.0,0.0,1.0,0.0,69.9676149244666,49.46166006323288,1.6232765605588955,66.52345219514147,33.31995971238377,68.58524744227446,37.3209530386376,1.5866112931318956,1,0,0,1,0,0,0,0,68.55480284687398
